id,tuyen_bo,trang_thai,bo_kiem,do_manh_bo_kiem,bang_chung
C28,"Chặn có điều kiện gap ≤ C·Φ_max, với Φ_max = vi phạm Monge chuẩn hoá dạng sup [tinh chỉnh C22 của v10: C22 nói 'chưa có chặn'; thẻ này thử một dạng chặn cụ thể và bác bỏ nó]",RÚT — tiêu chí giết K2 đã xảy ra,"Spearman tiền đăng ký ρ=0,375 < ngưỡng 0,5 đã khai trước khi chạy; hằng số ngụ ý C=gap%/Φ_max trải 469 lần (5–95%: 0,43–204)",mạnh,monge_gap.csv; monge_gap_experiment.py
C29,"Vi phạm Monge KHÔNG đủ để sinh gap: 2/49 instance có Φ_max 0,13–0,18 mà gap = 0",đứng (số đo),kiểm trực tiếp trên cùng bộ 55 instance,mạnh,monge_gap.csv
C30,"Ở nb=2 gap phân cực: Monge-sạch → 0 đúng, vi phạm → tới 126%; nên functional đúng có thể là tổ hợp (comonotone chọn đỉnh nào của đa diện) chứ không phải độ lớn vi phạm",đề xuất — CHƯA kiểm,chưa có; cần test tiền đăng ký trên seed mới và functional khai trước,yếu,monge_gap.csv
C31,"Ghi chú của f_monge_viol 'cây nhị phân gần như không vi phạm' không tái lập trên cây Markov tự sinh (nb=2: Φ_max tới 1,02; 3/5 instance sạch, 2/5 vi phạm nặng)",HẸP — có thể chỉ đúng trên họ instance rand_tree_pichler; chưa xác định,kiểm số trên một họ instance khác,một phần,monge_gap.csv
C32,"ATSW-hybrid (comonotone ở nút có chứng chỉ Monge, LP ở nút vi phạm) trả về ĐÚNG giá trị DP chính xác, không phải xấp xỉ tốt hơn",đứng — chứng minh được bằng quy nạp lùi từ C27; chưa hình thức hóa,"H1 khai trước: |gap| ≤ 1e-6% trên mọi instance. Đo: 80/80 instance seed mới (100–109), max |gap| = 7,8e-14%",mạnh,hybrid.csv; hybrid_fig.png; hybrid_experiment.py
C33,"Chứng chỉ Monge bỏ được 96,9% lời gọi LP (92,8–99,9% theo cấu hình); thời gian 0,24–0,36× DP chính xác, 1,2–2,0× comonotone thuần, trong khi comonotone thuần lệch trung bình 10,5% (max 36,7%)","đứng (số đo) — cây Markov TỰ SINH, T ≤ 3, trạng thái 1 chiều; wall time phụ thuộc cách cài",H2 (≤20% nút gọi LP) và H3 (<50% thời gian ở nb≥10) khai trước; 80 instance seed mới,mạnh,hybrid.csv; hybrid_fig.png
C34,"Tỉ lệ nút vi phạm Monge GIẢM theo số nhánh (T=2: 2,73% ở nb=3 xuống 0,11% ở nb=30) nhưng TĂNG theo độ sâu (nb=3: 2,73% ở T=2 lên 7,17% ở T=3)","đứng (số đo) — và là rủi ro chính: chưa đo ở T lớn, không được ngoại suy tới T=50",cùng bộ 80 instance,mạnh,hybrid.csv
C35,"Chứng chỉ Monge SỤP theo độ sâu: tỉ lệ cặp nút phải gọi LP đi từ 0,39% (T=2) lên 97,3% (T=50) — chế độ k-Markov, AR(1) dừng, lưới cố định δ=0,5, k=1, 4000 đường/quá trình, 5 seed",đứng (số đo) — GIẾT C32/C33 ở điểm vận hành: kết quả T≤3 trên cây là hiện tượng độ sâu nhỏ,"G2/G3 khai trước trong redesign_loop.py; 30 instance, T ∈ {2,5,10,20,35,50}",mạnh,kmarkov_sweep.csv; cycle1_fig.png
C36,"Chứng chỉ đối ngẫu (khả thi đối ngẫu trên bậc thang NW — điều kiện CẦN VÀ ĐỦ) rộng gấp ~15 lần chứng chỉ Monge ở T=50: kích hoạt 42,4% số nút so với 2,7%, vẫn đúng tuyệt đối",đứng (số đo),"smoke test 3000 ma trận ngẫu nhiên: 0 lỗi, sai lệch max 6,7e-16 khi tuyên bố tối ưu; |gap| toàn sweep ≤ 1,2e-13%",mạnh,variants_v1.py; kmarkov_sweep.csv
C37,"Không biến thể nào đạt G4 (<0,5x thời gian DP chính xác) từ T=5. Chứng chỉ đối ngẫu vượt LP thuần từ T=5 (1,05x) tới 1,28x ở T=50; chứng chỉ Monge còn RẺ HƠN LP thuần tới T=10 (0,81x ở T=5; 0,97x ở T=10) và chỉ vượt từ T=20 (1,03x), tới 1,04x ở T=50","RÚT — G2, G3, G4 đều FAIL ở chế độ T cao; chứng chỉ chỉ đáng ở T≤3",tiêu chí G2–G4 khai trước khi chạy,mạnh,kmarkov_sweep.csv
C38,"Ở chế độ k-Markov/lưới cố định/AR(1), comonotone thuần chỉ sai 0,23% trung bình và 0,50% worst so với LP ở mọi nút — ĐẠI LƯỢNG KHÁC với 9,7–23,4% của Bảng 1 (chế độ cây, tham chiếu là nested distance của đối thủ)",đứng (số đo) — và là lý do phải xét lại mục tiêu 'loại bỏ gap' cho chế độ vận hành,"30 instance, so trực tiếp với all_lp trên cùng không gian trạng thái",mạnh,kmarkov_sweep.csv; cycle1_fig.png
C39,"Chu kỳ 2: fable-5 sinh 8 biến thể inner_solve (6 parse được); 6/6 CHÍNH XÁC — sai lệch ≤3,6e-14 trên 6000 ma trận thật harvest từ DP ở hai cỡ (20×19 và 58×59)",đứng (số đo),smoke test hai bàn thử so với ot.emd2; ngưỡng 1e-9 khai trước,mạnh,variants_v2.py; cycle2_fig.png
C40,"Champion mới: đơn hình vận tải khởi động ấm từ đỉnh góc tây-bắc (v2_5, v2_7) — đúng tuyệt đối và 0,66–0,67× thời gian DP chính xác ở T=50, so với champion cũ (chứng chỉ Monge) 1,32× trên CÙNG seed mới — CHỈ ĐÚNG ở δ=0,5 (~21 trạng thái/tầng); xem C41 cho chế độ δ mịn","đứng (số đo) — vượt champion cũ, thay champion","end-to-end 10 instance seed mới (base 30M, khác cả seed chu kỳ 1 và seed bàn thử); |gap| worst 3,4e-13%",mạnh,cycle2_rows.csv; cycle2_fig.png
C41,"Lợi thế 'tăng theo cỡ trạng thái' (0,378× trên bàn thử ma trận 58×59) KHÔNG chuyển sang end-to-end: ở δ=0,18, T=50 (42 trạng thái/tầng, 150 861 cặp nút, 3 seed) v2_5 = 6,16× và v2_7 = 5,64× thời gian DP chính xác — chậm hơn POT ~6 lần",RÚT — xác nhận end-to-end bác bỏ; tuyên bố cũ chỉ đúng ở mức bàn thử,"end-to-end 3 seed base 31M ở δ=0,18 — chính là bước xác nhận mà thẻ cũ tự khai còn thiếu",mạnh (bàn thử) / chưa có (end-to-end),cycle3_deltafine.csv
C42,"G2/G3 (tỉ lệ nút gọi LP, tăng trưởng theo độ sâu) VÔ HIỆU với họ biến thể thay-solver: chúng không có cấu trúc chứng chỉ + fallback nên frac_lp=0 theo định nghĩa",ghi nhận — bộ mục tiêu của vòng lặp phải phát biểu lại cho họ biến thể này,—,—,redesign_loop.py
C43,"Chu kỳ 3, hợp đồng mức TẦNG khai thác 462 cặp biên dùng chung một M: champion mới v3_4 ('chuẩn bị một lần theo M'), đúng tuyệt đối (|gap| worst 2,5e-13%), 0,618× thời gian DP chính xác end-to-end so với 0,697× của champion cũ v2_5","đứng (số đo) — vượt champion, thay champion",bàn thử 50 tầng (trung vị 3 lần đo) rồi end-to-end 5 seed mới base 33M; sai lệch ≤1e-9 khai trước,mạnh,variants_v3.py; cycle3_rows.csv
C44,"Mục tiêu G4 (<0,5× DP chính xác) vẫn FAIL sau chu kỳ 3 (0,618×), nhưng champion cải thiện liên tiếp: 1,32× (Monge) → 0,697× (đơn hình khởi động ấm) → 0,618× (chuẩn bị một lần theo M)",đang mở — quy tắc dừng CHƯA kích hoạt vì champion vượt ở cả hai chu kỳ,"cùng bộ đo, cùng cấu hình δ=0,5 T=50",mạnh,cycle3_rows.csv
C45,"Giao thức đo lặp bắt được một champion giả: v3_4 đo MỘT lần cho 0,566× nhưng trung vị 3 lần là 0,644× trên bàn thử và 0,618× end-to-end",đứng (số đo) — lý do bắt buộc giữ giao thức trung vị khi wave sinh biến thể rộng,3 lần đo lặp + xác nhận end-to-end trên seed khác,mạnh,cycle3_rows.csv
C46,"Profile chỉ ra chỗ mất thời gian: khởi động ấm từ đỉnh góc tây-bắc chỉ cần 2,6 pivot mỗi lần giải (13 653 argmin / 5184 lần), nhưng tốn ~465 phép thao tác list mỗi lần để dựng lại cấu trúc (1 787 065 append + 622 950 pop trên 5184 lần giải = 344,7 append + 120,2 pop mỗi lần); và 35% thời gian của ot.emd2 là overhead Python của POT (riêng đường numpy.testing ~15%)","đứng (số đo) — seed bằng bằng chứng cho vòng sinh sau, thay cho gợi ý tự nghĩ","cProfile trên 5184 cặp thật, 12 tầng",mạnh,profile_layers.py
C47,"Sai số comonotone thuần TĂNG theo độ mịn lưới: 0,26% ở δ=0,5 lên 2,32% ở δ=0,18 (T=50, cùng họ quá trình) — nên đòn bẩy 'bỏ cổng đúng tuyệt đối' rẻ ở lưới thô, đắt dần ở lưới mịn",đứng (số đo),"end-to-end, so trực tiếp với all_lp trên cùng không gian trạng thái",mạnh,cycle3_deltafine.csv
C48,"BÀI HỌC PHƯƠNG PHÁP: bàn thử ma trận harvest không dự báo được end-to-end — cùng biến thể cho 0,378× trên 3000 ma trận 58×59 harvest từ T=20 nhưng 6,16× end-to-end ở δ=0,18 T=50. Mọi tuyên bố tốc độ phải xác nhận end-to-end trên cấu hình đích trước khi vào sổ",đứng — đã áp dụng: C41 bị rút nhờ đúng bước này,so sánh trực tiếp hai mức đo,mạnh,cycle3_deltafine.csv
C49,"CƠ CHẾ của C41: số pivot của đơn hình khởi động ấm tăng mạnh theo số trạng thái và theo độ sâu tích lũy — 2,6 pivot/lần ở các tầng gần lá, 4,89 ở tầng gần gốc với δ=0,5 (20 trạng thái), và 21,95 ở tầng gần gốc với δ=0,18 (54 trạng thái); thời gian đi từ 111 lên 1048 µs/cặp. Solver C của POT không chịu mức tăng đó",đứng (số đo),cProfile đếm argmin trên 6 tầng gần gốc ở hai δ,mạnh,diag_pivots.py
